City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
108,Asau,RO,2022-01-25 01:14:27,46.4333,26.4,13.95,88,25,5.17
109,Labuhan,ID,2022-01-25 01:14:27,-6.8844,112.2051,82.15,80,91,11.27
110,Bredasdorp,ZA,2022-01-25 01:08:41,-34.5322,20.0403,68.29,83,91,8.05
111,Yumen,CN,2022-01-25 01:14:28,40.2833,97.2,17.47,42,100,9.04
112,Minbu,MM,2022-01-25 01:14:28,20.1833,94.8833,64.87,71,24,3.36
113,Moroto,UG,2022-01-25 01:14:28,2.5345,34.6666,70.63,34,50,6.31
114,Chimbote,PE,2022-01-25 01:14:29,-9.0853,-78.5783,71.51,84,91,9.44
115,Codrington,AU,2022-01-25 01:14:29,-38.2667,141.9667,88.72,33,17,11.95
116,Victoria,HK,2022-01-25 01:13:31,22.2855,114.1577,68.05,90,99,1.99
117,Great Bend,US,2022-01-25 01:09:54,38.3645,-98.7648,43.03,58,0,8.05
118,Nouadhibou,MR,2022-01-25 01:14:29,20.931,-17.0347,67.98,77,100,18.41
119,Chopda,IN,2022-01-25 01:14:30,21.25,75.3,55.72,58,0,6.04
120,Kodiak,US,2022-01-25 01:09:50,57.79,-152.4072,40.51,81,100,0.0
121,Tursunzoda,TJ,2022-01-25 01:14:30,38.5144,68.2333,31.08,37,0,5.86
122,Chuy,UY,2022-01-25 01:14:31,-33.6971,-53.4616,74.44,90,100,7.09
123,Sambava,MG,2022-01-25 01:14:31,-14.2667,50.1667,74.77,88,100,3.0
124,Oranjemund,NA,2022-01-25 01:14:31,-28.55,16.4333,65.71,90,5,11.41
125,Vostok,RU,2022-01-25 01:14:32,46.4856,135.8833,4.66,90,74,0.83
126,Upernavik,GL,2022-01-25 01:10:03,72.7868,-56.1549,-15.07,90,97,10.42
127,Portland,US,2022-01-25 01:10:06,45.5234,-122.6762,47.77,84,20,1.01
128,Tamandare,BR,2022-01-25 01:14:32,-8.7597,-35.1047,79.09,76,100,7.52
129,Bambous Virieux,MU,2022-01-25 01:14:32,-20.3428,57.7575,77.25,61,40,11.5
130,Puerto Ayora,EC,2022-01-25 01:08:07,-0.7393,-90.3518,73.67,91,91,9.51
131,Limbang,MY,2022-01-25 01:14:33,4.75,115.0,82.51,85,100,2.39
132,Qui Nhon,VN,2022-01-25 01:14:33,13.7667,109.2333,75.45,88,34,5.73
133,Kloulklubed,PW,2022-01-25 01:14:34,7.0419,134.2556,79.3,79,93,18.77
134,Eyl,SO,2022-01-25 01:14:34,7.9803,49.8164,71.06,72,5,18.12
135,Itarema,BR,2022-01-25 01:15:34,-2.9248,-39.9167,79.02,78,100,10.04
136,Sept-Iles,CA,2022-01-25 01:15:02,50.2001,-66.3821,-7.17,64,0,5.75
137,Olafsvik,IS,2022-01-25 01:15:35,64.8945,-23.7142,39.27,97,100,37.36
138,Montague,US,2022-01-25 01:15:35,42.5356,-72.5351,29.35,72,100,3.18
139,Saskylakh,RU,2022-01-25 01:15:36,71.9167,114.0833,-2.87,96,62,10.07
140,Waterloo,CA,2022-01-25 01:13:02,43.4668,-80.5164,20.25,93,100,1.99
141,Mandera,KE,2022-01-25 01:15:36,3.9366,41.867,77.52,34,6,10.18
142,Zhanaozen,KZ,2022-01-25 01:15:37,43.3,52.8,27.54,80,7,16.33
143,Thompson,CA,2022-01-25 01:11:37,55.7435,-97.8558,-13.7,89,44,9.51
144,Fethiye,TR,2022-01-25 01:15:37,36.6217,29.1164,35.47,85,100,6.87
145,Raudeberg,NO,2022-01-25 01:15:37,61.9875,5.1352,39.87,78,100,3.67
146,Ginda,IN,2022-01-25 01:15:38,30.6945,78.4932,30.02,63,6,8.5
147,Klaksvik,FO,2022-01-25 01:10:31,62.2266,-6.589,41.92,78,100,15.84
148,Osypenko,UA,2022-01-25 01:15:38,46.9136,36.8253,30.22,97,100,5.57
149,Camocim,BR,2022-01-25 01:12:43,-2.9022,-40.8411,78.13,80,100,9.24
150,Whitefish,US,2022-01-25 01:15:38,48.4111,-114.3376,28.06,85,0,3.44
151,Furth Im Wald,DE,2022-01-25 01:15:39,49.3097,12.84,35.44,93,97,0.92
152,Airai,TL,2022-01-25 01:15:39,-8.9266,125.4092,72.28,64,31,3.27
153,Kaitangata,NZ,2022-01-25 01:15:39,-46.2817,169.8464,65.93,55,100,5.88
154,Mahebourg,MU,2022-01-25 01:15:40,-20.4081,57.7,77.29,61,40,11.5
155,Kargil,IN,2022-01-25 01:15:40,34.5667,76.1,-7.04,97,100,2.98
156,Salalah,OM,2022-01-25 01:05:02,17.0151,54.0924,68.09,34,0,9.22
157,Santiago,CL,2022-01-25 01:11:34,-33.4569,-70.6483,76.86,35,0,14.97
158,Bandarbeyla,SO,2022-01-25 01:15:41,9.4942,50.8122,73.15,68,73,21.16
159,Chokurdakh,RU,2022-01-25 01:11:32,70.6333,147.9167,-20.07,99,100,5.53
160,Nikolayevsk-Na-Amure,RU,2022-01-25 01:15:42,53.1406,140.73,-0.38,92,6,4.29
161,Peace River,CA,2022-01-25 01:11:14,56.2501,-117.286,11.08,98,94,2.46
162,Fez,MA,2022-01-25 01:15:42,34.0372,-4.9998,46.51,81,20,4.61
163,Tual,ID,2022-01-25 01:15:42,-5.6667,132.75,83.73,78,44,13.87
164,Hay River,CA,2022-01-25 01:15:23,60.8156,-115.7999,-0.42,78,75,9.22
165,Palmerston,AU,2022-01-25 01:15:27,-12.486,130.9833,85.93,79,75,9.22
166,Baracoa,CU,2022-01-25 01:15:43,20.3467,-74.4958,73.11,88,30,8.08
167,Solnechnyy,RU,2022-01-25 01:15:43,50.7214,136.6319,-1.53,91,22,2.48
168,Bethel,US,2022-01-25 01:08:34,41.3712,-73.414,30.92,76,100,4.61
