City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
409,Aripuana,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
410,Broken Hill,AU,-20.7333,139.5,82.17,83,40,11.5,scattered clouds
411,Keti Bandar,PK,24.1447,67.4497,64.51,47,0,7.18,clear sky
412,Arrifes,PT,39.05,-27.9833,58.62,81,92,8.9,overcast clouds
413,Banda Aceh,ID,-3.6954,128.1814,86.14,74,20,5.75,few clouds
414,Rondonopolis,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
415,Hun,IL,31.61,34.7642,50.4,100,9,10.38,clear sky
416,Misratah,IL,31.61,34.7642,50.4,100,9,10.38,clear sky
417,Ejido,VE,8.5514,-71.2375,69.37,91,79,1.3,broken clouds
418,Salta,AR,-29.15,-59.65,74.17,93,96,13.47,overcast clouds
419,Atar,MR,20.931,-17.0347,66.18,72,64,23.02,broken clouds
420,Haapiti,NZ,-46.1927,168.8643,54.48,96,97,5.77,overcast clouds
421,Vodyane,UA,49.1541,23.0297,28.8,96,100,4.09,light snow
422,Ponta Do Sol,PT,39.05,-27.9833,58.62,81,92,8.9,overcast clouds
423,Sao Joao De Pirabas,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
424,Egvekinot,RU,53.6907,33.5071,15.78,96,100,4.74,snow
425,Nanortalik,GL,77.484,-69.3632,-10.75,57,9,7.09,clear sky
426,Warrington,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
427,Guozhen,CN,43.3218,129.7634,8.94,90,39,1.88,scattered clouds
428,Una,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
429,Brae,GB,60.1545,-1.1494,44.6,72,46,31.74,scattered clouds
430,Port-Gentil,GA,-3.432,10.6554,74.82,90,67,2.3,broken clouds
431,Sitka,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
432,Sergiyevsk,RU,53.6907,33.5071,15.78,96,100,4.74,snow
433,Medvedka,RU,53.6907,33.5071,15.78,96,100,4.74,snow
434,Burnie,AU,-20.7333,139.5,82.17,83,40,11.5,scattered clouds
435,Hofn,IS,63.8424,-22.4338,30.67,86,75,3.44,broken clouds
436,Xuanzhou,CN,43.3218,129.7634,8.94,90,39,1.88,scattered clouds
437,Alotau,PG,-2.0226,147.2712,84.38,73,100,5.77,overcast clouds
438,Jacareacanga,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
439,Yeppoon,AU,-20.7333,139.5,82.17,83,40,11.5,scattered clouds
440,Chapais,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
441,Buckeye,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
442,Pangnirtung,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
443,Yaan,CN,43.3218,129.7634,8.94,90,39,1.88,scattered clouds
444,Faanui,NZ,-46.1927,168.8643,54.48,96,97,5.77,overcast clouds
445,Borogontsy,RU,53.6907,33.5071,15.78,96,100,4.74,snow
446,Atambua,ID,-3.6954,128.1814,86.14,74,20,5.75,few clouds
447,Guane,CU,22.2025,-84.0875,73.89,80,24,7.02,few clouds
448,Ganzhou,CN,43.3218,129.7634,8.94,90,39,1.88,scattered clouds
449,Vahan,AM,40.5755,45.3977,15.26,87,37,4.68,scattered clouds
450,Sao Miguel Do Araguaia,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
451,Kaberamaido,UG,1.7389,33.1594,73.44,38,76,5.86,broken clouds
452,Ingham,AU,-20.7333,139.5,82.17,83,40,11.5,scattered clouds
453,Ixtapa,MX,22.8909,-109.9124,72.7,53,20,4.0,few clouds
454,Wajid,SO,5.3505,48.5268,75.45,63,4,19.44,clear sky
455,Hecun,CN,43.3218,129.7634,8.94,90,39,1.88,scattered clouds
456,Vostochnyy,RU,53.6907,33.5071,15.78,96,100,4.74,snow
457,Vila,VU,-19.55,169.2667,85.51,70,14,5.97,moderate rain
458,Nizhnyaya Tavda,RU,53.6907,33.5071,15.78,96,100,4.74,snow
459,Beberibe,BR,-2.9248,-39.9167,80.71,74,99,12.73,overcast clouds
460,Meyungs,TL,-8.9266,125.4092,68.07,71,95,3.74,overcast clouds
461,Naliya,IN,17.6212,77.9503,65.21,57,0,6.73,clear sky
462,Hovd,AR,-34.6534,-58.6198,80.35,89,96,3.65,overcast clouds
463,Banyumas,ID,-3.6954,128.1814,86.14,74,20,5.75,few clouds
464,Gilgit,PK,24.1447,67.4497,64.51,47,0,7.18,clear sky
465,Lasa,CN,43.3218,129.7634,8.94,90,39,1.88,scattered clouds
466,Magistralnyy,RU,53.6907,33.5071,15.78,96,100,4.74,snow
467,Sur,OM,17.0151,54.0924,67.33,32,4,6.46,clear sky
468,Ambulu,ID,-3.6954,128.1814,86.14,74,20,5.75,few clouds
469,Arlit,NE,18.7369,7.3853,58.33,20,38,7.61,scattered clouds
470,Cumana,VE,8.5514,-71.2375,69.37,91,79,1.3,broken clouds
471,Tocopilla,CL,-53.15,-70.9167,48.31,57,0,27.63,clear sky
472,Dutse,NG,5.5167,5.75,76.3,91,12,0.45,few clouds
473,Idritsa,RU,53.6907,33.5071,15.78,96,100,4.74,snow
474,Solovetskiy,RU,53.6907,33.5071,15.78,96,100,4.74,snow
475,Port Hardy,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
476,Zolochiv,UA,49.1541,23.0297,28.8,96,100,4.09,light snow
477,Samarai,PG,-2.0226,147.2712,84.38,73,100,5.77,overcast clouds
478,Yirol,SS,4.8517,31.5825,78.87,28,52,3.0,broken clouds
479,La Estancia,HN,14.4,-87.0833,81.14,31,12,4.7,few clouds
480,Alofi,NU,-19.0595,-169.9187,85.89,70,75,11.5,broken clouds
481,Ondo,NG,5.5167,5.75,76.3,91,12,0.45,few clouds
482,Baker City,US,42.0898,-76.8077,23.0,58,20,6.91,few clouds
483,Boke,GN,10.9409,-14.2967,70.56,74,62,1.45,broken clouds
484,Bereda,SO,5.3505,48.5268,75.45,63,4,19.44,clear sky
485,Aasiaat,GL,77.484,-69.3632,-10.75,57,9,7.09,clear sky
486,Porto Empedocle,IT,37.2934,13.5264,39.9,65,1,7.23,clear sky
487,Port Moresby,PG,-2.0226,147.2712,84.38,73,100,5.77,overcast clouds
488,Chase,CA,63.7506,-68.5145,-20.47,76,75,0.0,broken clouds
489,Limbang,MY,4.75,115.0,77.11,93,87,0.49,overcast clouds
490,Igarka,RU,53.6907,33.5071,15.78,96,100,4.74,snow
491,Batemans Bay,AU,-20.7333,139.5,82.17,83,40,11.5,scattered clouds
492,Linjiang,CN,43.3218,129.7634,8.94,90,39,1.88,scattered clouds
493,Matara,LK,5.9485,80.5353,70.99,89,100,6.04,overcast clouds
494,Nizwa,OM,17.0151,54.0924,67.33,32,4,6.46,clear sky
